                                                                                                                                                                                                                                                                
                        1                        2
                   M_star               freq_units
  0.3103152000000000E+034UHZ                      
                        1                        2                        3
                     n_pg                 Re(freq)                 Im(freq)
                      -85  0.3811319991407962E+001  0.0000000000000000E+000
                      -84  0.3851220730698503E+001  0.0000000000000000E+000
                      -83  0.3892090630015395E+001  0.0000000000000000E+000
                      -82  0.3933999467777026E+001  0.0000000000000000E+000
                      -81  0.3977007620333707E+001  0.0000000000000000E+000
                      -80  0.4021151491506433E+001  0.0000000000000000E+000
                      -79  0.4066438003346905E+001  0.0000000000000000E+000
                      -78  0.4112848342256902E+001  0.0000000000000000E+000
                      -77  0.4160347811413791E+001  0.0000000000000000E+000
                      -76  0.4208908085869465E+001  0.0000000000000000E+000
                      -75  0.4258543248902340E+001  0.0000000000000000E+000
                      -74  0.4309344534750569E+001  0.0000000000000000E+000
                      -73  0.4361489968757767E+001  0.0000000000000000E+000
                      -72  0.4415205521882243E+001  0.0000000000000000E+000
                      -71  0.4470694430505093E+001  0.0000000000000000E+000
                      -70  0.4528084314119246E+001  0.0000000000000000E+000
                      -69  0.4587419456033224E+001  0.0000000000000000E+000
                      -68  0.4648684320807950E+001  0.0000000000000000E+000
                      -67  0.4711840647679105E+001  0.0000000000000000E+000
                      -66  0.4776871389196639E+001  0.0000000000000000E+000
                      -65  0.4843829672016717E+001  0.0000000000000000E+000
                      -64  0.4912872868197434E+001  0.0000000000000000E+000
                      -63  0.4984248849102434E+001  0.0000000000000000E+000
                      -62  0.5058231874545838E+001  0.0000000000000000E+000
                      -61  0.5135045097411675E+001  0.0000000000000000E+000
                      -60  0.5214813548624964E+001  0.0000000000000000E+000
                      -59  0.5297553763534066E+001  0.0000000000000000E+000
                      -58  0.5383194268939277E+001  0.0000000000000000E+000
                      -57  0.5471616319404087E+001  0.0000000000000000E+000
                      -56  0.5562712556675630E+001  0.0000000000000000E+000
                      -55  0.5656507388605203E+001  0.0000000000000000E+000
                      -54  0.5753323198131175E+001  0.0000000000000000E+000
                      -53  0.5853827723922365E+001  0.0000000000000000E+000
                      -52  0.5958826326295176E+001  0.0000000000000000E+000
                      -51  0.6068951935036209E+001  0.0000000000000000E+000
                      -50  0.6184526069733343E+001  0.0000000000000000E+000
                      -49  0.6305631381590791E+001  0.0000000000000000E+000
                      -48  0.6432221022328163E+001  0.0000000000000000E+000
                      -47  0.6564177150027020E+001  0.0000000000000000E+000
                      -46  0.6701341486858573E+001  0.0000000000000000E+000
                      -45  0.6843592738217985E+001  0.0000000000000000E+000
                      -44  0.6991060242024481E+001  0.0000000000000000E+000
                      -43  0.7144414552840244E+001  0.0000000000000000E+000
                      -42  0.7304995074127268E+001  0.0000000000000000E+000
                      -41  0.7474395662988623E+001  0.0000000000000000E+000
                      -40  0.7653862433509167E+001  0.0000000000000000E+000
                      -39  0.7844086326112601E+001  0.0000000000000000E+000
                      -38  0.8045280797422819E+001  0.0000000000000000E+000
                      -37  0.8257334286847184E+001  0.0000000000000000E+000
                      -36  0.8479697133542313E+001  0.0000000000000000E+000
                      -35  0.8711075649871855E+001  0.0000000000000000E+000
                      -34  0.8949559809418162E+001  0.0000000000000000E+000
                      -33  0.9194913496518385E+001  0.0000000000000000E+000
                      -32  0.9452409469777866E+001  0.0000000000000000E+000
                      -31  0.9730866711423399E+001  0.0000000000000000E+000
                      -30  0.1003581859639617E+002  0.0000000000000000E+000
                      -29  0.1036867896511611E+002  0.0000000000000000E+000
                      -28  0.1072903636291613E+002  0.0000000000000000E+000
                      -27  0.1111514290067336E+002  0.0000000000000000E+000
                      -26  0.1152251854313915E+002  0.0000000000000000E+000
                      -25  0.1194245080676047E+002  0.0000000000000000E+000
                      -24  0.1237014331903424E+002  0.0000000000000000E+000
                      -23  0.1282785475709458E+002  0.0000000000000000E+000
                      -22  0.1334838454143782E+002  0.0000000000000000E+000
                      -21  0.1394071117350667E+002  0.0000000000000000E+000
                      -20  0.1460274731001608E+002  0.0000000000000000E+000
                      -19  0.1533346292596844E+002  0.0000000000000000E+000
                      -18  0.1613085329819781E+002  0.0000000000000000E+000
                      -17  0.1698476558995015E+002  0.0000000000000000E+000
                      -16  0.1788338493372678E+002  0.0000000000000000E+000
                      -15  0.1886496155416516E+002  0.0000000000000000E+000
                      -14  0.2002188107669933E+002  0.0000000000000000E+000
                      -13  0.2141227507535365E+002  0.0000000000000000E+000
                      -12  0.2307182918655463E+002  0.0000000000000000E+000
                      -11  0.2505144193716201E+002  0.0000000000000000E+000
                      -10  0.2743748264792997E+002  0.0000000000000000E+000
                       -9  0.3037069796610282E+002  0.0000000000000000E+000
                       -8  0.3407114301649129E+002  0.0000000000000000E+000
                       -7  0.3885527074695074E+002  0.0000000000000000E+000
                       -6  0.4523268436660613E+002  0.0000000000000000E+000
                       -5  0.5402009596834820E+002  0.0000000000000000E+000
